originals	tokenized	transliterated
achtervolgers	a ch t e r v o l g e r s	ɑ x t ɛ r v ɔ l ɣ ə r s
achtervolging	a ch t e r v o l g i ng	ɑ x t ɛ r v ɔ l ɣ ɪ ŋ
achterwege	a ch t e r w e g e	ɑ x t e r ʋ e ɣ ə
achterwielen	a ch t e r w ie l e n	ɑ x t e r ʋ i l ə n
achterzijde	a ch t e r z ij d e	ɑ x t ɛ r z ɛɪ d ə
achtste	a ch t s t e	ɑ x t s t ə
achttien	a ch tt ie n	ɑ x t i n
achttiende-eeuwse	a ch tt ie n d e - eeu w s e	ɑ x t i n d e eu ʋ s ə
achtuurjournaal	a ch t uu r j ou r n aa l	ɑ x t y r j ɑu r n a l
Acid	A c i d	a s ɪ t
Acid-testen	A c i d - t e s t e n	a s i d t ɛ s t ə n
acne	a c n e	ɑ k n ə
acolieten	a c o l ie t e n	a k o l i t ə n
Acolieten	A c o l ie t e n	a k o l i t ə n
acquisitie	a cqu i s i t ie	a kʋ i s i ts i
Acretia	A c r e t i a	ɑ k r e t i a
Acrobat	A c r o b a t	ɑ k r o b ɑ t
Act	A c t	ɑ k t
acteeromgeving	a c t ee r o m g e v i ng	ɑ k t e r ɔ m ɣ ə v ɪ ŋ
acteren	a c t e r e n	ɑ k t e r ə n
acteur	a c t eu r	ɑ k t ø r
acteurs	a c t eu r s	ɑ k t ø r s
actie	a c t ie	ɑ k s i
Actie	A c t ie	ɑ k s i
actief	a c t ie f	ɑ k t i f
Actief	A c t ie f	ɑ k t i f
actiegroep	a c t ie g r oe p	ɑ k ts i ɣ r u p
actiegroepen	a c t ie g r oe p e n	ɑ k ts i ɣ r u p ə n
acties	a c t ie s	ɑ k s i s
actiespellen	a c t ie s p e ll e n	ɑ k ts i s p ɛ l ə n
actiestrategieën	a c t ie s t r a t e g ie ë n	ɑ k ts i s t r a t e ɣ i ə n
actieve	a c t ie v e	ɑ k ts i v ə
Active	A c t i v e	ɑ k t i v ə
activeren	a c t i v e r e n	ɑ k t i v e r ə n
activering	a c t i v e r i ng	ɑ k t i v e r ɪ ŋ
activisme	a c t i v i s m e	ɑ k t i v ɪ s m ə
activiteit	a c t i v i t ei t	ɑ k t i v i t ɛɪ t
activiteiten	a c t i v i t ei t e n	ɑ k t i v i t ɛɪ t ə n
Activiteiten	A c t i v i t ei t e n	ɑ k t i v i t ɛɪ t ə n
activiteitencentrum	a c t i v i t ei t e n c e n t r u m	ɑ k t i v i t ɛɪ t ɛ n s ɛ n t r œ m
actrice	a c t r i c e	ɑ k t r i s ə
actualiseren	a c t u a l i s e r e n	ɑ k t y a l i s e r ə n
actualisering	a c t u a l i s e r i ng	ɑ k t y a l i s e r ɪ ŋ
actualiteit	a c t u a l i t ei t	ɑ k t y a l i t ɛɪ t
actualiteitenprogramma	a c t u a l i t ei t e n p r o g r a mm a	ɑ k t y a l i t ɛɪ t ɛ n p r ɔ ɣ r ɑ m a
Actueel	A c t u ee l	ɑ k t y e l
actuele	a c t u e l e	ɑ k t y e l ə
Actuele	A c t u e l e	ɑ k t y e l ə
actule	a c t u l e	ɑ k t y l ə
acupunctuurpunten	a c u p u n c t uu r p u n t e n	a k y p œ n k t y r p œ n t ə n
acylhalides	a c y l h a l i d e s	a s i l h a l i d ɛ s
Ad	A d	ɑ t
Adam	A d a m	a d ɑ m
Adamas	A d a m a s	a d a m ɑ s
Adams	A d a m s	a d ɑ m s
adaptatie	a d a p t a t ie	a d ɑ p t a ts i
Adapter	A d a p t e r	a d ɑ p t ə r
Add	A dd	ɑ d
adder	a dd e r	ɑ d ə r
Adder	A dd e r	ɑ d ə r
adel	a d e l	a d ə l
Adel	A d e l	a d ə l
Adela	A d e l a	a d e l a
adem	a d e m	a d ɛ m
ademende	a d e m e n d e	a d e m ɛ n d ə
ademlucht	a d e m l u ch t	a d ɛ m l œ x t
ademoefeningen	a d e m oe f e n i ng e n	a d e m u f e n ɪ ŋ ə n
ademtop	a d e m t o p	a d ɛ m t ɔ p
adequaat	a d e qu aa t	a d e kʋ a t
adequate	a d e qu a t e	a d e kʋ a t ə
adhv	a d h v	a d h f
Adidas	A d i d a s	a d i d ɑ s
adieu	a di eu	a ɟ ø
Adinda	A d i n d a	a d ɪ n d a
adjudant	a d j u d a n t	a d j y d ɑ n t
Adjudant	A d j u d a n t	a d j y d ɑ n t
administrateur	a d m i n i s t r a t eu r	ɑ t m i n ɪ s t r a t ø r
administratief	a d m i n i s t r a t ie f	ɑ t m i n ɪ s t r a t i f
Administratiegebouw	A d m i n i s t r a t ie g e b ou w	ɑ t m i n ɪ s t r a ts i ɣ ə b ɑu ʋ
administratieve	a d m i n i s t r a t ie v e	ɑ t m i n ɪ s t r a ts i v ə
Administratieve	A d m i n i s t r a t ie v e	ɑ t m i n ɪ s t r a ts i v ə
Admira	A d m i r a	ɑ t m i r a
admire	a d m i r e	ɑ t m i r ə
Adobe	A d o b e	a d o b ə
Adolf	A d o l f	a d ɔ l f
adrenaline	a d r e n a l i n e	ɑ d r e n a l i n ə
adres	a d r e s	ɑ d r ɛ s
adresgegevens	a d r e s g e g e v e n s	ɑ d r ɛ s ɣ ə ɣ ə v ɛ n s
adressen	a d r e ss e n	ɑ d r ɛ s ə n
Adri	A d r i	ɑ d r i
Adriaan	A d r i aa n	ɑ d r i a n
Adriaanse	A d r i aa n s e	ɑ d r i a n s ə
Adriaenken	A d r i a e n k e n	ɑ d r i a ɛ ŋ k ə n
Adriana	A d r i a n a	ɑ d r i a n a
Adrianaplein	A d r i a n a p l ei n	ɑ d r i a n ɑ p l ɛɪ n
ads	a d s	ɑ t s
Advanced	A d v a n c e d	ɑ t v ɑ n s ɛ t
advent	a d v e n t	ɑ t v ɛ n t
Adverteerders	A d v e r t ee r d e r s	ɑ t v ɛ r t e r d ɛ r s
adverteerdersmarkt	a d v e r t ee r d e r s m a r k t	ɑ t v ɛ r t e r d ɛ r s m ɑ r k t
advertentie	a d v e r t e n t ie	ɑ t v ɛ r t ɛ n ts i
advertentieborden	a d v e r t e n t ie b o r d e n	ɑ t v ɛ r t ɛ n ts i b ɔ r d ə n
advertentiecontracten	a d v e r t e n t ie c o n t r a c t e n	ɑ t v ɛ r t ɛ n ts i k ɔ n t r ɑ k t ə n
advertentiepublicist	a d v e r t e n t ie p u b l i c i s t	ɑ t v ɛ r t ɛ n ts i p œ b l i s ɪ s t
Advertenties	A d v e r t e n t ie s	ɑ t v ɛ r t ɛ n ts i s
adverteren	a d v e r t e r e n	ɑ t v ɛ r t e r ə n
Advice	A d v i c e	ɑ t v i s ə
advies	a d v ie s	ɑ t v i s
Advies	A d v ie s	ɑ t v i s
adviesbureau	a d v ie s b u r eau	ɑ t v i s b y r o
Adviesbureau	A d v ie s b u r eau	ɑ t v i s b y r o
adviespraktijk	a d v ie s p r a k t ij k	ɑ t v i s p r ɑ k t ɛɪ k
adviesprijs	a d v ie s p r ij s	ɑ t v i s p r ɛɪ s
adviesverlaging	a d v ie s v e r l a g i ng	ɑ t v i s v ɛ r l a ɣ ɪ ŋ
adviezen	a d v ie z e n	ɑ t v i z ə n
adviseert	a d v i s ee r t	ɑ t v i s e r t
adviseren	a d v i s e r e n	ɑ t v i s e r ə n
adviserende	a d v i s e r e n d e	ɑ t v i s e r ɛ n d ə
adviseur	a d v i s eu r	ɑ t v i s ø r
adviseurs	a d v i s eu r s	ɑ t v i s ø r s
Adviseurs	A d v i s eu r s	ɑ t v i s ø r s
advocaat	a d v o c aa t	ɑ t v o k a t
advocaat-generaal	a d v o c aa t - g e n e r aa l	ɑ t v o k a t ɣ ə n e r a l
advocaten	a d v o c a t e n	ɑ t v o k a t ə n
Advocaten	A d v o c a t e n	ɑ t v o k a t ə n
advocatuur	a d v o c a t uu r	ɑ t v o k a t y r
Aedes	A e d e s	a e d ɛ s
Aegon	A e g o n	a e ɣ ɔ n
aegyptiaca	a e g y p t i a c a	a e ɣ i p t i a k a
aegyptiacae	a e g y p t i a c a e	a e ɣ i p t i a k a ə
aerobics	a e r o b i c s	a e r o b ɪ k s
Aerobics	A e r o b i c s	a e r o b ɪ k s
aërosolen	a ë r o s o l e n	a e r o s o l ə n
Aerts	A e r t s	a ɛ r t s
af	a f	ɑ f
Af	A f	ɑ f
Afab	A f a b	a f ɑ p
afb	a f b	ɑ f p
afbeelding	a f b ee l d i ng	ɑ f b e l d ɪ ŋ
Afbeelding	A f b ee l d i ng	ɑ f b e l d ɪ ŋ
afbeeldingen	a f b ee l d i ng e n	ɑ f b e l d ɪ ŋ ə n
Afbeeldingen	A f b ee l d i ng e n	ɑ f b e l d ɪ ŋ ə n
afbouw	a f b ou w	ɑ f b ɑu ʋ
afbouwen	a f b ou w e n	ɑ f b ɑu ʋ ə n
afbraak	a f b r aa k	ɑ f b r a k
Afbraakdreiging	A f b r aa k d r ei g i ng	ɑ f b r a k d r ɛɪ ɣ ɪ ŋ
afbreken	a f b r e k e n	ɑ f b r e k ə n
afbreuk	a f b r eu k	ɑ f b r ø k
afbreukbagage	a f b r eu k b a g a g e	ɑ f b r ø k b a ɣ a ɣ ə
afbreukrisico	a f b r eu k r i s i c o	ɑ f b r ø k r i s i k o
afd	a f d	ɑ f t
afdalen	a f d a l e n	ɑ f d a l ə n
afdaling	a f d a l i ng	ɑ f d a l ɪ ŋ
afdekdeken	a f d e k d e k e n	ɑ f d ɛ k d e k ə n
afdeling	a f d e l i ng	ɑ f d e l ɪ ŋ
afdelingen	a f d e l i ng e n	ɑ f d e l ɪ ŋ ə n
afdelingssturen	a f d e l i ng ss t u r e n	ɑ f d e l ɪ ŋ s t y r ə n
Afdelingsvoorzitters	A f d e l i ng s v oo r z i tt e r s	ɑ f d e l ɪ ŋ s v o r z ɪ t ɛ r s
afdichtring	a f d i ch t r i ng	ɑ f d ɪ x t r ɪ ŋ
afdracht	a f d r a ch t	ɑ f d r ɑ x t
afdrukken	a f d r u kk e n	ɑ f d r œ k ə n
afdrukprincipe	a f d r u k p r i n c i p e	ɑ f d r œ k p r ɪ n s i p ə
afdwingbaar	a f d w i ng b aa r	ɑ f d ʋ ɪ ŋ b a r
afdwingen	a f d w i ng e n	ɑ f d ʋ ɪ ŋ ə n
Afellay	A f e ll ay	a f ɛ l eɪ
affaire	a ff ai r e	ɑ f ɑɪ r ə
affiche	a ff i ch e	ɑ f i ʃ ə
afficheert	a ff i ch ee r t	ɑ f i ʃ e r t
affiliate	a ff i l i a t e	ɑ f i l i a t ə
affuit	a ff ui t	ɑ f œy t
afgebakend	a f g e b a k e n d	ɑ f ɣ ə b a k ɛ n t
afgebeeld	a f g e b ee l d	ɑ f ɣ ə b e l t
afgeblazen	a f g e b l a z e n	ɑ f ɣ ə b l a z ə n
afgeboekt	a f g e b oe k t	ɑ f ɣ ə b u k t
afgebouwd	a f g e b ou w d	ɑ f ɣ ə b ɑu ʋ t
afgebroken	a f g e b r o k e n	ɑ f ɣ ə b r o k ə n
Afgedankte	A f g e d a n k t e	ɑ f ɣ ə d ɑ ŋ k t ə
afgedekt	a f g e d e k t	ɑ f ɣ ə d ɛ k t
afgedragen	a f g e d r a g e n	ɑ f ɣ ə d r a ɣ ə n
afgedrukt	a f g e d r u k t	ɑ f ɣ ə d r œ k t
afgegeven	a f g e g e v e n	ɑ f ɣ ə ɣ ə v ə n
afgegooid	a f g e g ooi d	ɑ f ɣ ə ɣ oi t
afgehakt	a f g e h a k t	ɑ f ɣ ə h ɑ k t
afgehandeld	a f g e h a n d e l d	ɑ f ɣ ə h ɑ n d ɛ l t
afgekeurd	a f g e k eu r d	ɑ f ɣ ə k ø r t
afgekort	a f g e k o r t	ɑ f ɣ ə k ɔ r t
afgelegd	a f g e l e g d	ɑ f ɣ ə l ɛ ɣ t
afgelegen	a f g e l e g e n	ɑ f ɣ ə l e ɣ ə n
afgeleid	a f g e l ei d	ɑ f ɣ ə l ɛɪ t
afgeleverd	a f g e l e v e r d	ɑ f ɣ ə l e v ɛ r t
afgelezen	a f g e l e z e n	ɑ f ɣ ə l e z ə n
afgelopen	a f g e l o p e n	ɑ f ɣ ə l o p ə n
Afgelopen	A f g e l o p e n	ɑ f ɣ ə l o p ə n
afgeneukt	a f g e n eu k t	ɑ f ɣ ə n ø k t
afgenomen	a f g e n o m e n	ɑ f ɣ ə n o m ə n
afgepakt	a f g e p a k t	ɑ f ɣ ə p ɑ k t
afgepaste	a f g e p a s t e	ɑ f ɣ ə p ɑ s t ə
afgerond	a f g e r o n d	ɑ f ɣ ə r ɔ n t
afgeschaft	a f g e s ch a f t	ɑ f ɣ ə s x ɑ f t
áfgeschaft	á f g e s ch a f t	ɑ f ɣ ə s x ɑ f t
afgescheurd	a f g e s ch eu r d	ɑ f ɣ ə s x ø r t
afgeslacht	a f g e s l a ch t	ɑ f ɣ ə s l ɑ x t
afgeslankte	a f g e s l a n k t e	ɑ f ɣ ə s l ɑ ŋ k t ə
afgesloten	a f g e s l o t e n	ɑ f ɣ ə s l o t ə n
afgesneden	a f g e s n e d e n	ɑ f ɣ ə s n e d ə n
afgespeeld	a f g e s p ee l d	ɑ f ɣ ə s p e l t
afgesproken	a f g e s p r o k e n	ɑ f ɣ ə s p r o k ə n
afgestaan	a f g e s t aa n	ɑ f ɣ ə s t a n
afgestemd	a f g e s t e m d	ɑ f ɣ ə s t ɛ m t
afgestoken	a f g e s t o k e n	ɑ f ɣ ə s t o k ə n
afgestudeerd	a f g e s t u d ee r d	ɑ f ɣ ə s t y d e r t
afgestudeerde	a f g e s t u d ee r d e	ɑ f ɣ ə s t y d e r d ə
afgestudeerden	a f g e s t u d ee r d e n	ɑ f ɣ ə s t y d e r d ə n
afgevaardigde	a f g e v aa r d i g d e	ɑ f ɣ ə v a r d ɪ ɣ d ə
afgevallen	a f g e v a ll e n	ɑ f ɣ ə v ɑ l ə n
afgevoerd	a f g e v oe r d	ɑ f ɣ ə v u r t
afgevuurd	a f g e v uu r d	ɑ f ɣ ə v y r t
Afgewacht	A f g e w a ch t	ɑ f ɣ ə ʋ ɑ x t
afgeweken	a f g e w e k e n	ɑ f ɣ ə ʋ e k ə n
afgewerkt	a f g e w e r k t	ɑ f ɣ ə ʋ ɛ r k t
afgewezen	a f g e w e z e n	ɑ f ɣ ə ʋ e z ə n
afgeworpen	a f g e w o r p e n	ɑ f ɣ ə ʋ ɔ r p ə n
afgezegd	a f g e z e g d	ɑ f ɣ ə z ɛ ɣ t
afgezet	a f g e z e t	ɑ f ɣ ə z ɛ t
afgezonderd	a f g e z o n d e r d	ɑ f ɣ ə z ɔ n d ɛ r t
Afghaanse	A f gh aa n s e	ɑ f g a n s ə
Afghanistan	A f gh a n i s t a n	ɑ f g a n ɪ s t ɑ n
afgravingswerkzaamheden	a f g r a v i ng s w e r k z aa m h e d e n	ɑ f ɣ r a v ɪ ŋ s ʋ ɛ r k z a m h e d ə n
afhandig	a f h a n d i g	a f h ɑ n d ə ɣ
afhang	a f h a ng	a f h ɑ ŋ
afhangen	a f h a ng e n	a f h ɑ ŋ ə n
afhankelijk	a f h a n k e l ij k	a f h ɑ ŋ k e l ə k
Afhankelijk	A f h a n k e l ij k	a f h ɑ ŋ k e l ə k
afhankelijkheid	a f h a n k e l ij k h ei d	a f h ɑ ŋ k e l ə k h ɛɪ t
Afhankelijkheid	A f h a n k e l ij k h ei d	a f h ɑ ŋ k e l ə k h ɛɪ t
Afisare	A f i s a r e	a f i s a r ə
afkeer	a f k ee r	ɑ f k e r
afklokken	a f k l o kk e n	ɑ f k l ɔ k ə n
afkoelen	a f k oe l e n	ɑ f k u l ə n
afkomst	a f k o m s t	ɑ f k ɔ m s t
afkomstig	a f k o m s t i g	ɑ f k ɔ m s t ə ɣ
afkomstige	a f k o m s t i g e	ɑ f k ɔ m s t ə ɣ ə
afkomt	a f k o m t	ɑ f k ɔ m t
afkortingen	a f k o r t i ng e n	ɑ f k ɔ r t ɪ ŋ ə n
afleggen	a f l e gg e n	ɑ f l ɛ ɣ ə n
aflegt	a f l e g t	ɑ f l ɛ ɣ t
afleiden	a f l ei d e n	ɑ f l ɛɪ d ə n
afleiding	a f l ei d i ng	ɑ f l ɛɪ d ɪ ŋ
afleveradres	a f l e v e r a d r e s	ɑ f l e v e r ɑ d r ɛ s
afleveren	a f l e v e r e n	ɑ f l e v e r ə n
aflevering	a f l e v e r i ng	ɑ f l e v e r ɪ ŋ
afleveringen	a f l e v e r i ng e n	ɑ f l e v e r ɪ ŋ ə n
aflezen	a f l e z e n	ɑ f l e z ə n
afloop	a f l oo p	ɑ f l o p
afloopt	a f l oo p t	ɑ f l o p t
aflopen	a f l o p e n	ɑ f l o p ə n
afmaakt	a f m aa k t	ɑ f m a k t
afmaken	a f m a k e n	ɑ f m a k ə n
afmelden	a f m e l d e n	ɑ f m ɛ l d ə n
Afmeldformulier	A f m e l d f o r m u l ie r	ɑ f m ɛ l t f ɔ r m y l i r
afmeting	a f m e t i ng	ɑ f m e t ɪ ŋ
afmetingen	a f m e t i ng e n	ɑ f m e t ɪ ŋ ə n
Afmetingen	A f m e t i ng e n	ɑ f m e t ɪ ŋ ə n
afname	a f n a m e	ɑ f n a m ə
afneemt	a f n ee m t	ɑ f n e m t
afnemer	a f n e m e r	ɑ f n e m ə r
afnemers	a f n e m e r s	ɑ f n e m ɛ r s
afpersing	a f p e r s i ng	ɑ f p ɛ r s ɪ ŋ
afrika	a f r i k a	ɑ f r i k a
Afrika	A f r i k a	ɑ f r i k a
Afrikaan	A f r i k aa n	ɑ f r i k a n
Afrikaanse	A f r i k aa n s e	ɑ f r i k a n s ə
Afro-Amerikaanse	A f r o - A m e r i k aa n s e	ɑ f r o a m e r i k a n s ə
afronden	a f r o n d e n	ɑ f r ɔ n d ə n
afroommodule	a f r oo mm o d u l e	ɑ f r o m o d y l ə
afschaffen	a f s ch a ff e n	ɑ f s x ɑ f ə n
afscheid	a f s ch ei d	ɑ f s x ɛɪ t
afscheiding	a f s ch ei d i ng	ɑ f s x ɛɪ d ɪ ŋ
afscherming	a f s ch e r m i ng	ɑ f s x ɛ r m ɪ ŋ
afschermwand	a f s ch e r m w a n d	ɑ f s x ɛ r m ʋ ɑ n t
afschilferen	a f s ch i l f e r e n	ɑ f s x ɪ l f e r ə n
afschrift	a f s ch r i f t	ɑ f s x r ɪ f t
afschrijving	a f s ch r ij v i ng	ɑ f s x r ɛɪ v ɪ ŋ
afschrijvingen	a f s ch r ij v i ng e n	ɑ f s x r ɛɪ v ɪ ŋ ə n
afschrikking	a f s ch r i kk i ng	ɑ f s x r ɪ k ɪ ŋ
afschuwelijk	a f s ch u w e l ij k	ɑ f s x y ʋ e l ə k
afslag	a f s l a g	ɑ f s l ɑ ɣ
Afslag	A f s l a g	ɑ f s l ɑ ɣ
afslanking	a f s l a n k i ng	ɑ f s l ɑ ŋ k ɪ ŋ
afsluitbaar	a f s l ui t b aa r	ɑ f s l œy t b a r
afsluiten	a f s l ui t e n	ɑ f s l œy t ə n
afsluiter	a f s l ui t e r	ɑ f s l œy t ə r
afsluiters	a f s l ui t e r s	ɑ f s l œy t ɛ r s
afsluiting	a f s l ui t i ng	ɑ f s l œy t ɪ ŋ
afsluitingsgesteente	a f s l ui t i ng s g e s t ee n t e	ɑ f s l œy t ɪ ŋ s ɣ ə s t e n t ə
afsluitingsspoor	a f s l ui t i ng ss p oo r	ɑ f s l œy t ɪ ŋ s p o r
afsluitsessie	a f s l ui t s e ss ie	ɑ f s l œy t s ɛ s i
afsnijden	a f s n ij d e n	ɑ f s n ɛɪ d ə n
afspeel	a f s p ee l	ɑ f s p e l
afspeelt	a f s p ee l t	ɑ f s p e l t
afspelen	a f s p e l e n	ɑ f s p e l ə n
afsplitsing	a f s p l i t s i ng	ɑ f s p l ɪ t s ɪ ŋ
afspraak	a f s p r aa k	ɑ f s p r a k
afspraken	a f s p r a k e n	ɑ f s p r a k ə n
Afspraken	A f s p r a k e n	ɑ f s p r a k ə n
afspreken	a f s p r e k e n	ɑ f s p r e k ə n
afstaan	a f s t aa n	ɑ f s t a n
afstammeling	a f s t a mm e l i ng	ɑ f s t ɑ m e l ɪ ŋ
afstand	a f s t a n d	ɑ f s t ɑ n t
Afstand	A f s t a n d	ɑ f s t ɑ n t
afstandbediening	a f s t a n d b e d ie n i ng	ɑ f s t ɑ n t b ə d i n ɪ ŋ
afstanden	a f s t a n d e n	ɑ f s t ɑ n d ə n
afstandskampioenschappen	a f s t a n d s k a m p i oe n s ch a pp e n	ɑ f s t ɑ n t s k ɑ m p i u n s x ɑ p ə n
afstandstoename	a f s t a n d s t oe n a m e	ɑ f s t ɑ n t s t u n a m ə
afstaptoestel	a f s t a p t oe s t e l	ɑ f s t ɑ p t u s t ə l
Afstoten	A f s t o t e n	ɑ f s t o t ə n
afstudeertrajecten	a f s t u d ee r t r a j e c t e n	ɑ f s t y d e r t r a j ɛ k t ə n
afstuderen	a f s t u d e r e n	ɑ f s t y d e r ə n
aftekenen	a f t e k e n e n	ɑ f t e k e n ə n
aftekening	a f t e k e n i ng	ɑ f t e k e n ɪ ŋ
afterski	a f t e r s k i	ɑ f t ɛ r s k i
aftrap	a f t r a p	ɑ f t r ɑ p
aftredende	a f t r e d e n d e	ɑ f t r e d ɛ n d ə
aftrek	a f t r e k	ɑ f t r ɛ k
aftrekken	a f t r e kk e n	ɑ f t r ɛ k ə n
aftrekmogelijkheden	a f t r e k m o g e l ij k h e d e n	ɑ f t r ɛ k m o ɣ ə l ə k h e d ə n
afval	a f v a l	ɑ f v ɑ l
Afval	A f v a l	ɑ f v ɑ l
afvalbak	a f v a l b a k	ɑ f v ɑ l b ɑ k
afvalstoffen	a f v a l s t o ff e n	ɑ f v ɑ l s t ɔ f ə n
afvlakking	a f v l a kk i ng	ɑ f v l ɑ k ɪ ŋ
afvoer	a f v oe r	ɑ f v u r
Afvoermetingen	A f v oe r m e t i ng e n	ɑ f v u r m e t ɪ ŋ ə n
afvraagt	a f v r aa g t	ɑ f v r a ɣ t
afwaching	a f w a ch i ng	a f ʋ ɑ x ɪ ŋ
afwachten	a f w a ch t e n	a f ʋ ɑ x t ə n
afweer	a f w ee r	a f ʋ e r
afweging	a f w e g i ng	a f ʋ e ɣ ɪ ŋ
afwenden	a f w e n d e n	a f ʋ ɛ n d ə n
afwerking	a f w e r k i ng	a f ʋ ɛ r k ɪ ŋ
afwerpt	a f w e r p t	a f ʋ ɛ r p t
afwezig	a f w e z i g	a f ʋ e z ə ɣ
afwezige	a f w e z i g e	a f ʋ e z ə ɣ ə
afwezigen	a f w e z i g e n	a f ʋ e z ə ɣ ə n
afwijken	a f w ij k e n	a f ʋ ɛɪ k ə n
afwijkend	a f w ij k e n d	a f ʋ ɛɪ k ɛ n t
afwijkende	a f w ij k e n d e	a f ʋ ɛɪ k ɛ n d ə
afwijkingen	a f w ij k i ng e n	a f ʋ ɛɪ k ɪ ŋ ə n
afwijzen	a f w ij z e n	a f ʋ ɛɪ z ə n
afwikkelen	a f w i kk e l e n	a f ʋ ɪ k e l ə n
afwisselen	a f w i ss e l e n	a f ʋ ɪ s e l ə n
afwisselend	a f w i ss e l e n d	a f ʋ ɪ s e l ɛ n t
afwisseling	a f w i ss e l i ng	a f ʋ ɪ s e l ɪ ŋ
afzeggen	a f z e gg e n	ɑ f z ɛ ɣ ə n
afzender	a f z e n d e r	ɑ f z ɛ n d ə r
afzet	a f z e t	ɑ f z ɛ t
afzetmarkt	a f z e t m a r k t	ɑ f z ɛ t m ɑ r k t
afzetten	a f z e tt e n	ɑ f z ɛ t ə n
afzonderlijk	a f z o n d e r l ij k	ɑ f z ɔ n d ɛ r l ə k
afzonderlijke	a f z o n d e r l ij k e	ɑ f z ɔ n d ɛ r l ə k ə
afzwemmen	a f z w e mm e n	ɑ f z ʋ ɛ m ə n
Agamemnon	A g a m e m n o n	a ɣ a m ɛ m n ɔ n
Agatha	A g a t h a	a ɣ a t h a
Age	A g e	a ɣ ə
Agency	A g e n c y	a ɣ ə n s i
agenda	a g e n d a	a ɣ ə n d a
agent	a g e n t	a ɣ ə n t
Agent	A g e n t	a ɣ ə n t
agenten	a g e n t e n	a ɣ ə n t ə n
Agenten	A g e n t e n	a ɣ ə n t ə n
aggressieve	a gg r e ss ie v e	ɑ ɣ r ɛ s i v ə
Agnes	A g n e s	ɑ ɣ n ɛ s
Agonita	A g o n i t a	a ɣ o n i t a
agrarisch	a g r a r i sch	ɑ ɣ r a r i s
agressie	a g r e ss ie	ɑ ɣ r ɛ s i
agressief	a g r e ss ie f	ɑ ɣ r ɛ s i f
agressiviteit	a g r e ss i v i t ei t	ɑ ɣ r ɛ s i v i t ɛɪ t
agromilieukeur	a g r o m i l i eu k eu r	ɑ ɣ r o m i l j ø k ø r
Aguado	A g u a d o	a ɣ y a d o
Aguri	A g u r i	a ɣ y r i
Ah	A h	a
Aha	A h a	a h a
Ahasveros	A h a s v e r o s	a h ɑ s v e r ɔ s
Ahead	A h e a d	a h e ɑ t
Ahmadi	A h m a d i	a h m a d i
Ahmadinejad	A h m a d i n e j a d	a h m a d i n e j ɑ t
Ahold	A h o l d	a h ɔ l t
aids	ai d s	ɑɪ t s
Aigle	A i g l e	a ɪ ɣ l ə
Air	A i r	a ɪ r
airbag	ai r b a g	ɑɪ r b ɑ ɣ
airconditioning	ai r c o n d i ti o n i ng	ɑɪ r k ɔ n d i ʃ o n ɪ ŋ
aircraft	ai r c r a f t	ɑɪ r k r ɑ f t
airedales	ai r e d a l e s	ɑɪ r e d a l ɛ s
Aires	A i r e s	a i r ɛ s
Airport	A i r p o r t	a ɪ r p ɔ r t
Airspray	A i r s p r ay	a ɪ r s p r eɪ
Airways	A i r w a y s	a i r ʋ a i s
Aisne	A i s n e	a ɪ s n ə
Aix-en-Provence	A i x - e n - P r o v e n c e	a ɪ ks e n p r o v ɛ n s ə
Aiyana	A i y a n a	a i i a n a
Ajacied	A j a c ie d	a j a s i t
Ajakkes	A j a kk e s	a j ɑ k ɛ s
ajax	a j a x	a j ɑ ks
Ajax	A j a x	a j ɑ ks
ajuus	a j uus	a j y
akademisch	a k a d e m i sch	a k a d e m i s
akelig	a k e l i g	a k e l ə ɣ
akkers	a kk e r s	ɑ k ɛ r s
akkoord	a kk oo r d	ɑ k o r t
Akkoord	A kk oo r d	ɑ k o r t
akkoordinstrument	a kk oo r d i n s t r u m e n t	ɑ k o r d ɪ n s t r y m ɛ n t
Akonnor	A k o nn o r	a k ɔ n ɔ r
Akrotiri	A k r o t i r i	ɑ k r o t i r i
akte	a k t e	ɑ k t ə
aktie	a k t ie	ɑ k ts i
aktiviteiten	a k t i v i t ei t e n	ɑ k t i v i t ɛɪ t ə n
al	a l	ɑ l
Al	A l	ɑ l
Al-Assad	A l - A ss a d	a l ɑ s ɑ t
al-Qaeda	a l - Q a e d a	a l k a e d a
Alan	A l a n	a l ɑ n
Alanis	A l a n i s	a l a n ɪ s
alarm	a l a r m	a l ɑ r m
alarmbelprocedure	a l a r m b e l p r o c e d u r e	a l ɑ r m b ə l p r o s e d y r ə
alarmsysteem	a l a r m s y s t ee m	a l ɑ r m s i s t e m
alata	a l a t a	a l a t a
Albayrak	A l b a y r a k	ɑ l b a i r ɑ k
Albert	A l b e r t	ɑ l b ə r t
albino	a l b i n o	ɑ l b i n o
Albino	A l b i n o	ɑ l b i n o
Albron	A l b r o n	ɑ l b r ɔ n
album	a l b u m	ɑ l b œ m
Album	A l b u m	ɑ l b œ m
albums	a l b u m s	ɑ l b œ m s
Alcatel	A l c a t e l	ɑ l k a t ə l
alcohol	a l c o h o l	ɑ l k o h ɔ l
Alcoholgebruik	A l c o h o l g e b r ui k	ɑ l k o h ɔ l ɣ ə b r œy k
alcoholica	a l c o h o l i c a	ɑ l k o h o l i k a
Aldeneik	A l d e n ei k	ɑ l d e n ɛɪ k
